,FL_NUM,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN,DEST,CRS_ARR_TIME,DEP_DEL15,ARR_DEL15,DEP_DELAY
351,822,1,17,7,SEA,DTW,1415,0.0,0.0,-3.0
352,888,1,17,7,MSP,ATL,1959,0.0,0.0,-1.0
353,984,1,17,7,ATL,JFK,22,0.0,0.0,-1.0
354,1096,1,17,7,DTW,MSP,1300,0.0,0.0,-1.0
355,1145,1,17,7,ATL,DTW,1839,0.0,0.0,10.0
356,1291,1,18,1,SEA,ATL,1614,0.0,0.0,7.0
357,1461,1,18,1,DTW,SEA,1430,0.0,0.0,-1.0
358,1575,1,18,1,ATL,JFK,25,0.0,0.0,8.0
359,1651,1,18,1,DTW,SEA,2221,0.0,0.0,-5.0
360,866,1,18,1,ATL,MSP,1540,0.0,0.0,-2.0
361,929,1,18,1,DTW,ATL,1840,1.0,0.0,40.0
362,987,1,18,1,SEA,DTW,615,0.0,0.0,4.0
363,1096,1,18,1,DTW,MSP,1303,1.0,1.0,95.0
364,1122,1,18,1,MSP,ATL,1104,1.0,0.0,16.0
365,1195,1,18,1,DTW,JFK,2159,1.0,0.0,20.0
366,784,1,19,2,ATL,MSP,1020,0.0,0.0,14.0
367,840,1,19,2,MSP,DTW,2234,0.0,0.0,-5.0
368,888,1,19,2,MSP,ATL,1956,0.0,0.0,-7.0
369,946,1,19,2,DTW,MSP,1843,0.0,0.0,-1.0
370,991,1,19,2,ATL,DTW,1404,0.0,0.0,5.0
371,1107,1,19,2,ATL,SEA,2205,0.0,0.0,1.0
372,1173,1,19,2,MSP,DTW,1114,0.0,0.0,1.0
373,1267,1,19,2,ATL,DTW,1934,0.0,0.0,-2.0
374,1403,1,19,2,ATL,SEA,1625,0.0,0.0,4.0
375,1476,1,19,2,DTW,MSP,1444,0.0,0.0,-4.0
376,1650,1,19,2,DTW,MSP,824,1.0,1.0,190.0
377,2817,1,19,2,JFK,DTW,1123,0.0,0.0,-5.0
378,53,1,20,3,MSP,DTW,1814,0.0,0.0,1.0
379,325,1,20,3,DTW,ATL,1706,0.0,0.0,10.0
380,433,1,20,3,JFK,ATL,1055,1.0,1.0,42.0
381,460,1,20,3,JFK,SEA,2151,0.0,0.0,-5.0
382,514,1,20,3,ATL,MSP,1353,0.0,0.0,-1.0
383,1734,1,17,7,MSP,DTW,1431,0.0,0.0,-4.0
384,1795,1,17,7,ATL,JFK,2012,0.0,0.0,-5.0
385,1961,1,17,7,MSP,ATL,2303,0.0,0.0,-2.0
386,2054,1,17,7,JFK,ATL,2208,1.0,1.0,109.0
387,2188,1,17,7,ATL,SEA,1909,0.0,0.0,-2.0
388,2074,1,18,1,ATL,MSP,1943,0.0,0.0,-1.0
389,2221,1,18,1,MSP,SEA,1322,1.0,0.0,18.0
390,2287,1,18,1,ATL,MSP,2357,0.0,0.0,0.0
391,2393,1,18,1,ATL,DTW,2117,0.0,0.0,0.0
392,2440,1,18,1,SEA,MSP,550,0.0,0.0,3.0
393,2536,1,18,1,MSP,SEA,2125,0.0,0.0,0.0
